firm_name,twitter_screen_name
3I INFRASTRUCTURE PLC ,3iplc
ANGLO AMERICAN PLC ,AngloAmerican
ASSOCIATED BRITISH FOODS PLC ,"NA"
ADMIRAL GROUP PLC ,"NA"
AGGREKO PLC ,"NA"
ASSURA PLC ,"NA"
AVI GLOBAL TRUST PLC ,"NA"
ASHTEAD GROUP PLC ,"NA"
AJ BELL PLC ,"NA"
ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC ,astonmartin
ANTOFAGASTA PLC ,AntofagastaPLC
APAX GLOBAL ALPHA LIMITED ,"NA"
ASCENTIAL PLC ,MediaLink
ASHMORE GROUP PLC ,AshmoreEM
ABERFORTH SMALLER COMPANIES TRUST PLC ,"NA"
ALLIANCE TRUST PLC ,Alliance_Trust
AUTO TRADER GROUP PLC ,AutoTrader_UK
AVIVA PLC ,avivaplc
AVAST PLC ,"NA"
AVEVA GROUP PLC ,"NA"
ASTRAZENECA PLC ,AstraZeneca
BAE SYSTEMS PLC ,BAESystemsplc
BABCOCK INTERNATIONAL GROUP PLC ,lucydimes
BARR (A.G.) PLC ,"NA"
BAKKAVOR GROUP PLC ,"NA"
BARCLAYS PLC ,Barclays
BRITISH AMERICAN TOBACCO PLC ,BATPress
BBGI SICAV S.A. ,"NA"
TRITAX BIG BOX REIT PLC ,tritaxsymmetry
BALFOUR BEATTY PLC ,"NA"
BMO COMMERCIAL PROPERTY TRUST LIMITED ,"NA"
BARRATT DEVELOPMENTS PLC ,Barrattplc
BEAZLEY PLC ,"NA"
BANK OF GEORGIA GROUP PLC ,"NA"
BAILLIE GIFF,"NA"
BMO GLOBAL SMALLER COMPANIES PLC ,"NA"
BHP GROUP PLC ,"NA"
BERKELEY GROUP HOLDINGS (THE) PLC ,"NA"
BRITISH LAND COMPANY PLC ,BritishLandPLC
B&M EUROPEAN VALUE RETAIL S.A. ,bmstores
BANKERS INVESTMENT TRUST PLC ,"NA"
BUNZL PLC ,JoannaGilroy
BODYCOTE PLC ,bodycoteplc
BP PLC $0.25,"NA"
BURBERRY GROUP PLC ,"NA"
BLACKROCK SMALLER CO TRUST PLC ,"NA"
BREWIN DOLPHIN HOLDINGS PLC ,"NA"
BT GROUP PLC ,BTGroup
BRITVIC PLC ,Britvic
BELLWAY PLC ,"NA"
BIG YELLOW GROUP PLC ,"NA"
CAPITAL & COUNTIES PROPERTIES PLC ,"NA"
CLOSE BROTHERS GROUP PLC ,"NA"
COMPUTACENTER PLC ,K22KJJ
COCA-COLA HBC AG ,"NA"
CARNIVAL PLC ,CarnivalPLC
CENTAMIN PLC ,CentaminPlc
CINEWORLD GROUP PLC ,"NA"
CLARKSON PLC ,"NA"
CALEDONIA INVESTMENTS PLC ,"NA"
CLS HOLDINGS PLC ,CLSHoldings
CENTRICA PLC ,centricaplc
CAIRN ENERGY PLC ,CairnEnergy
COATS GROUP PLC ,CoatsGroupplc
COBHAM PLC ,Cobham_plc
COMPASS GROUP PLC ,compassgroupusa
CAPITA PLC ,CapitaPlc
CRODA INTERNATIONAL PLC ,CrodaPlc
CRH PLC ,TarmacLtd
CREST NICHOLSON HOLDINGS PLC ,"NA"
COUNTRYSIDE PROPERTIES PLC ,"NA"
CONVATEC GROUP PLC ,"NA"
CITY OF LONDON INVESTMENT TRUST PLC ,"NA"
CRANSWICK PLC ,CranswickPlc
DIXONS CARPHONE PLC ,DixonsCarphone
DCC PLC ,"NA"
DIAGEO PLC ,DiageoGB
DAEJAN HOLDINGS PLC ,"NA"
DIRECT LINE INSURANCE GROUP PLC ,"NA"
DERWENT LONDON PLC ,"NA"
DUNELM GROUP PLC ,DunelmUK
DOMINO'S PIZZA GROUP PLC ,"NA"
DECHRA PHARMACEUTICALS PLC ,"NA"
DIPLOMA PLC ,"NA"
DRAX GROUP PLC ,DavidNussbaum1
ELECTROCOMPONENTS PLC ,RSComponents
EDINBURGH INVESTMENT TRUST PLC ,"NA"
EI GROUP PLC ,"NA"
ELEMENTIS PLC ,"NA"
MAN GROUP PLC ,ManGroup
ENERGEAN OIL & GAS PLC ,"NA"
EQUINITI GROUP PLC ,"NA"
EUROMONEY INSTITUTIONAL INVESTOR PLC ,EuromoneyEnergy
ESSENTRA PLC ,"NA"
EVRAZ PLC ,"NA"
EXPERIAN PLC ,"NA"
EASYJET PLC ,"NA"
F&C INVESTMENT TRUST PLC ,"NA"
FIDELITY CHINA SPECIAL SITUATIONS PLC ,"NA"
FDM GROUP (HOLDINGS) PLC ,"NA"
FERGUSON PLC ,Ferguson_plc
FIDELITY EUROPEAN VALUES PLC ,"NA"
FIRSTGROUP PLC ,bernardkuhn
