"","x"
"1","4IMPRINT GRP."
"2","ACACIA MIN"
"3","AJ BELL"
"4","APAX GLB"
"5","ASTON MARTIN"
"6","AVI GLOBAL TST"
"7","BHP GROUP"
"8","BMO COMM PROP."
"9","BMO GLOBAL"
"10","F &C IV.TST"
"11","FLUTTER ENT"
"12","FUNDING CIRCLE"
"13","FUTURE"
"14","HICL INFRASTRU."
"15","KAINOS GROUP"
"16","LAW.DEB.CORP"
"17","MARSTON'S"
"18","MCCARTHY"
"19","NB GLOBAL ?"
"20","NETWORK INTL"
"21","NEXTENERGY SOL."
"22","OXFORD INSTRMNT"
"23","PAYPOINT"
"24","PETS AT HOME"
"25","PHOENIX GRP HDG"
"26","PPHE HOTEL"
"27","RESTAURANT GP"
"28","SABRE INSUR"
"29","SMITHSON INVEST"
"30","WOODFORD"
