"","CODE","NAME_LSE","edit"
"1","III","3I GROUP PLC ORD 73 19/22P","3I GROUP PLC "
"2","3IN","3I INFRASTRUCTURE PLC ORD NPV","3I INFRASTRUCTURE PLC "
"3","FOUR","4IMPRINT GROUP PLC ORD 38 6/13P","4IMPRINT GROUP PLC "
"4","ABF","ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P","ASSOCIATED BRITISH FOODS PLC "
"5","ASL","ABERFORTH SMALLER COMPANIES TRUST PLC ORD 1P","ABERFORTH SMALLER COMPANIES TRUST PLC "
"6","ACA","ACACIA MINING PLC ORD 10P","ACACIA MINING PLC "
"7","ADM","ADMIRAL GROUP PLC ORD 0.1P","ADMIRAL GROUP PLC "
"8","AGK","AGGREKO PLC ORD 4 329/395P","AGGREKO PLC "
"9","AJB","AJ BELL PLC ORD GBP0.000125","AJ BELL PLC "
"10","ATST","ALLIANCE TRUST PLC ORD 2.5P","ALLIANCE TRUST PLC "
"11","AMGO","AMIGO HOLDINGS PLC ORD 0.25P","AMIGO HOLDINGS PLC "
"12","AAL","ANGLO AMERICAN PLC ORD USD0.54945","ANGLO AMERICAN PLC "
"13","ANTO","ANTOFAGASTA PLC ORD 5P","ANTOFAGASTA PLC "
"14","APAX","APAX GLOBAL ALPHA LIMITED ORD NPV","APAX GLOBAL ALPHA LIMITED "
"15","ASCL","ASCENTIAL PLC ORD 1P","ASCENTIAL PLC "
"16","ASHM","ASHMORE GROUP PLC ORD 0.01P","ASHMORE GROUP PLC "
"17","AHT","ASHTEAD GROUP PLC ORD 10P","ASHTEAD GROUP PLC "
"18","AGR","ASSURA PLC ORD 10P","ASSURA PLC "
"19","AML","ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC ORD GBP0.00903968713304439","ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC "
"20","AZN","ASTRAZENECA PLC ORD SHS $0.25","ASTRAZENECA PLC "
"21","AUTO","AUTO TRADER GROUP PLC ORD 1P","AUTO TRADER GROUP PLC "
"22","AVST","AVAST PLC ORD 10P","AVAST PLC "
