"","Name","Age","Since","Current.Position","company_code","company_name"
"1","Simon Thompson",59,2015,"Non-Executive Chairman of the Board","III","3I GRP."
"2","Simon Borrows",NA,2012,"Chief Executive, Executive Director","III","3I GRP."
"3","Jonathan Asquith",NA,2015,"Senior Independent Non-Executive Deputy Chairman of the Board","III","3I GRP."
"4","Julia Wilson",NA,2008,"Group Finance Director, Executive Director","III","3I GRP."
"5","Kevin Dunn",NA,2007,"General Counsel, Company Secretary","III","3I GRP."
"6","Menno Antal",53,2010,"Managing Partner - Private Equity","III","3I GRP."
"7","Alan Giddins",53,2010,"Managing Partner - Private Equity","III","3I GRP."
"8","Phil White",NA,2014,"Managing Partners - Infrastructure","III","3I GRP."
"9","Peter Grosch",64,2015,"Non-Executive Director","III","3I GRP."
"10","Coline McConville",NA,2018,"Non-Executive Director","III","3I GRP."
"11","Caroline Banszky",NA,2015,"Non-Executive Independent Director","III","3I GRP."
"12","Stephen Daintith",NA,2016,"Non-Executive Independent Director","III","3I GRP."
"13","David Hutchison",NA,2013,"Non-Executive Independent Director","III","3I GRP."
"14","Silvia Santoro",NA,NA,"Investor Relations Director","III","3I GRP."
"15","Richard Laing",NA,2016,"Independent Non-Executive Chairman of the Board","3IN","3I INF. ORD"
"16","Ian Lobley",NA,2014,"Non-Executive Director","3IN","3I INF. ORD"
"17","Douglas Bannister",NA,2015,"Independent Non-Executive Director","3IN","3I INF. ORD"
"18","Wendy Dorman",NA,2015,"Independent Non-Executive Director","3IN","3I INF. ORD"
"19","Robert Jennings",61,2018,"Independent Non-Executive Director","3IN","3I INF. ORD"
"20","Paul Masterton",NA,2017,"Senior Independent Non-Executive Director","3IN","3I INF. ORD"
"21","Paul Moody",59,2016,"Non-Executive Chairman of the Board","FOUR","4IMPRINT GRP."
"22","Kevin Lyons-Tarr",NA,2015,"Chief Executive Officer, Executive Director","FOUR","4IMPRINT GRP."
"23","David Seekings",NA,2015,"Chief Financial Officer, Executive Director","FOUR","4IMPRINT GRP."
"24","Andrew Scull",NA,2004,"Corporate Services Director, Legal Counsel, Company Secretary, Executive Director","FOUR","4IMPRINT GRP."
"25","John Warren",65,2012,"Senior Independent Non-Executive Director","FOUR","4IMPRINT GRP."
"26","Charles Brady",59,2015,"Non-Executive Independent Director","FOUR","4IMPRINT GRP."
"27","Tina Southall",NA,2019,"Non-Executive Independent Director","FOUR","4IMPRINT GRP."
"28","Michael McLintock",57,2018,"Non-Executive Chairman of the Board","ABF","A.B.FOOD"
"29","George Weston",55,2005,"Chief Executive, Executive Director","ABF","A.B.FOOD"
"30","John Bason",62,1999,"Finance Director, Executive Director","ABF","A.B.FOOD"
"31","Paul Lister",NA,NA,"Company Secretary","ABF","A.B.FOOD"
"32","Emma Adamo",55,2011,"Non-Executive Director","ABF","A.B.FOOD"
"33","Graham Allan",64,2018,"Independent Non-Executive Director","ABF","A.B.FOOD"
"34","Ruth Cairnie",64,2018,"Senior Independent Non-Executive Director","ABF","A.B.FOOD"
"35","Wolfhart Hauser",69,2015,"Independent Non-Executive Director","ABF","A.B.FOOD"
"36","Richard Reid",62,2016,"Independent Non-Executive Director","ABF","A.B.FOOD"
"37","Richard Davidson",NA,2019,"Non-Executive Chairman of the Board","ASL","ABERFTH.SMLL.CO"
"38","Paula Hay-Plumb",58,2014,"Non-Executive Independent Director","ASL","ABERFTH.SMLL.CO"
"39","Julia Le Blan",NA,2014,"Non-Executive Independent Director","ASL","ABERFTH.SMLL.CO"
"40","Richard Rae",55,2012,"Non-Executive Independent Director","ASL","ABERFTH.SMLL.CO"
"41","Martin Warner",62,2018,"Non-Executive Independent Director","ASL","ABERFTH.SMLL.CO"
"42","Robert Smith",NA,2016,"Independent Non-Executive Chairman of the Board","ATST","ALLIANCE TRUST"
"43","Gregor Stewart",NA,2014,"Independent Non-Executive Deputy Chairman of the Board,","ATST","ALLIANCE TRUST"
"44","Anthony Brooke",NA,2015,"Independent Non-Executive Director","ATST","ALLIANCE TRUST"
"45","Clare Dobie",NA,2016,"Independent Non-Executive Director","ATST","ALLIANCE TRUST"
"46","Christopher Samuel",NA,2015,"Independent Non-Executive Director","ATST","ALLIANCE TRUST"
"47","Karl Sternberg",NA,2016,"Senior Non-Executive Independent Director","ATST","ALLIANCE TRUST"
"48","Stephan Wilcke",48,2016,"Independent Chairman of the Board","AMGO","AMIGO"
